Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Please indicate whether or not you consent to participate.,"Do you consent to the potential use of your responses in future research? (The response will only be used in an aggregated format in future research papers, and we will not contact you in the future.)",What is your gender?,What is your current role?,,,,,How many years of professional experience do you have in software engineering?,How experienced are you in structuring or maintaining multi-module Python projects?,How experienced are you with producing API documentation?,How familiar are you with Sphinx documentation generator tool?,"Would you like to see an outline of Sphinx's essential components: what autodoc, autoapi, and viewcode do, and relevant config knobs (imported-members, noindex, autoapi_ignore, autoapi-skip-member)?",Do you have a reasonable understanding of the package structure?,How well do you understand the Sphinx configuration process and the RST files that facilitate API name tracing and linking the code body to its docstring?,Sphinx is easy to learn to use in your Python projects.,Sphinx's learning curve negatively impacts software engineers' motivation to create and maintain documentation.,"The framework-specific Sphinx configuration (managing extensions, creating .rst files, and adding wrappers to skip objects) is an error-prone process.",The framework-specific Sphinx configurations are easy to maintain in a rapidly evolving software development lifecycle.,To what extent would you be inclined to change your implementation design to adapt to Sphinx's behavior?,Do you agree that documentation practices would improve if Sphinx supported trace-link retrieval from source code to external documentation (web and/or file documentation) during initial build?,Select all that apply regarding the side effects docstring-dependent trace-link retrieval has on documentation practices.,,,,,"Would you like to see a brief description of MapCoDoc's input requirement from its user, and the code and documentation analysis workflow it employs to link artifacts?",How well do you understand MapCoDoc's traceability workflow and its analysis result?,MapCoDoc is easy to learn to use for your Python project.,Managing MapCoDoc input configuration to produce reliable trace-links is an error-prone process.,The hybrid keyword-semantic link retrieval makes MapCoDoc adaptable to potential misalignment of signatures and API names in the documentation.,To what extent would you be inclined to change your implementation design to make MapCoDoc produce the desired canonical API names?,,MapCoDoc supports linking external documentation sources (published HTML pages or PDF documents) to code artifacts; would this capability improve documentation practices in your team?,Select all that apply: Which of the following are advantages of having a traceability pipeline that supports heterogeneous documentation formats?,,,,,MapCoDoc would significantly speed up API evolution analysis and deprecation planning.,MapCoDoc’s export-chain records would meaningfully reduce the time it takes to identify which public APIs and aliases are affected by a code refactor.,MapCoDoc would speed up mapping a bug reported against a public API to the exact implementation and other aliases that must be fixed.,MapCoDoc's import and export tracing of internal and external code components in the code repository is useful for identifying unused components and facilitating the adoption of explicit export (via __all__).,Recovering trace links from heterogeneous document formats makes MapCoDoc valuable for consolidating documentation and ensuring consistency.,MapCoDoc-generated programmatically parseable documentation enables its automated fine-grained quality assessment.,MapCoDoc's fine-grained representation of documentation facilitates automated tooling for targeted documentation maintenance/generation.,Powering IDE hover/popups with MapCoDoc's fine-grained representation of artifacts and provenance information reduces the required effort to learn about a codebase.,An AI assistant (agent) that answers developers' questions by querying MapCoDoc's analysis results would generate more accurate responses and consume fewer resources than one searching a raw code repository and documentation.,"Relational representation of code, documentation, and import dependencies is critical for component architecture-informed cross-language translation (around public-facing APIs).","Compared to the manual discovery-translation workflow, using MapCoDoc's output to produce translation specifications and scaffolding would reduce the total time required to port a module/package.",MapCoDoc's output would be a high-quality input to an automated translator or LLM to generate a translation specification.,MapCoDoc's relational representation of trace artifacts serves as a foundation for building a benchmark dataset for code-to-documentation.,Select all that apply: Which use-cases do you consider relevant about MapCoDoc's output as a dataset?,,,,,,,
,,,,,,,,,Response,Response,Response,Software developer,Documentation engineer,Researcher,Student,Other (please specify),Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,None of the above,Other (please specify),Response,Response,Response,Response,Response,Response,Other (please specify),Response,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,None of the above.,Other (please specify),Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,None of the above.,Other (please specify)
110020898853,270491528,01/21/2026 06:48:18 PM,01/21/2026 06:57:34 PM,185.236.200.244,,,,,I consent to participate in the study.,Yes,Man,Software developer,,,,,5-9,Expert,Regular,Very familiar,No,I have a very good understanding,I have a very good understanding,Neutral,Agree,Agree,Neutral,I will slightly modify my implementation design to fit the needs of Sphinx,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,,Reduced discoverability and navigability across code and documentation,,,Yes,I have a very good understanding,Strongly agree,Strongly disagree,Agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020869756,270491528,01/18/2026 08:36:06 PM,01/18/2026 08:43:05 PM,185.236.200.246,,,,,I consent to participate in the study.,Yes,Woman,Software developer,Documentation engineer,,,,5-9,Expert,Expert,Expert,No,I have a very good understanding,I have a very good understanding,Disagree,Agree,Agree,Neutral,I will produce the necessary configurations to produce the expected result,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,,,Yes,I have a very good understanding,Agree,Disagree,Agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020869707,270491528,01/18/2026 08:23:01 PM,01/18/2026 08:35:19 PM,193.148.16.6,,,,,I consent to participate in the study.,Yes,Man,,,,Student,,0-1,Intermediate,None,Not familiar,Yes,I have a fair understanding,I have a fair understanding,Strongly disagree,Strongly agree,Agree,Disagree,I would make significant changes to my package structure so I can apply the bare minimum Sphinx configurations,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,,,Yes,I have a fair understanding,Strongly agree,Disagree,Agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020869653,270491528,01/18/2026 08:12:54 PM,01/18/2026 08:20:50 PM,84.252.113.53,,,,,I consent to participate in the study.,Yes,Man,,,Researcher,,,5-9,Expert,Some,Slightly familiar,Yes,I have a very good understanding,I have a very good understanding,Disagree,Agree,Agree,Neutral,I will slightly modify my implementation design to fit the needs of Sphinx,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,,,Yes,I have a fair understanding,Agree,Disagree,Agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020869617,270491528,01/18/2026 08:03:18 PM,01/18/2026 08:11:45 PM,185.107.56.125,,,,,I consent to participate in the study.,Yes,Woman,,,,Student,,2-4,Intermediate,None,Not familiar,Yes,I have a very good understanding,I have a fair understanding,Strongly agree,Strongly agree,Agree,Disagree,I would make significant changes to my package structure so I can apply the bare minimum Sphinx configurations,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,,,Yes,I have a fair understanding,Agree,Strongly disagree,Agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020868937,270491528,01/18/2026 05:15:39 PM,01/18/2026 05:27:28 PM,159.26.119.227,,,,,I consent to participate in the study.,Yes,Man,Software developer,,,,,2-4,Advanced,Some,Slightly familiar,Yes,I have a very good understanding,I have a very good understanding,Disagree,Agree,Agree,Disagree,I will slightly modify my implementation design to fit the needs of Sphinx,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,,,Yes,I have a very good understanding,Agree,Disagree,Strongly agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020719405,270491528,12/23/2025 09:05:08 AM,12/23/2025 09:11:42 AM,174.2.0.227,,,,,I consent to participate in the study.,Yes,Woman,,,Researcher,,,2-4,Expert,Some,Moderately familiar,No,I have a very good understanding,I have a very good understanding,Disagree,Agree,Agree,Disagree,I will slightly modify my implementation design to fit the needs of Sphinx,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,,Reduced discoverability and navigability across code and documentation,,,Yes,I have a very good understanding,Agree,Disagree,Agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020719360,270491528,12/23/2025 08:57:20 AM,12/23/2025 09:04:27 AM,174.2.0.227,,,,,I consent to participate in the study.,Yes,Woman,Software developer,,,,,2-4,Advanced,Some,Slightly familiar,Yes,I have a very good understanding,I have a very good understanding,Disagree,Agree,Agree,Disagree,I will slightly modify my implementation design to fit the needs of Sphinx,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,,,Yes,I have a very good understanding,Agree,Disagree,Strongly agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
110020640733,270491528,12/11/2025 08:30:30 AM,12/16/2025 11:26:20 PM,208.98.222.98,,,,,I consent to participate in the study.,Yes,Man,Software developer,,,Student,,0-1,Intermediate,None,Not familiar,Yes,I have a very good understanding,I have a fair understanding,Disagree,Agree,Agree,Strongly disagree,I will slightly modify my implementation design to fit the needs of Sphinx,Yes,Cluttered code files due to the practice of writing API reference documentation as docstrings.,Potentially introduces code and documentation smells as developers and documentation maintainers make changes to the same artifact.,Reduced discoverability and navigability across code and documentation,,,Yes,I have a fair understanding,Strongly agree,Disagree,Agree,I expect little or no source rework.,,Yes,Reduction of bulky content directly in source code (less docstring bloat).,Reducing documentation/code conflicts where developers and documentation maintainers work on different artifacts.,Improved discoverability and navigation across code and documentations (single place to find both definitions and API pages).,,,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,To train or fine-tune models to generate high quality API reference documentations.,To detect stale or mismatched documentations.,To train models to generate accurate API usage examples.,To train models to accurately retrieve trace-links between code and documentation.,To perform provenance / governance research (identify third-party re-exports and licensing exposure),To estimate maintenance effort by analyzing imports dependencies and export records.,,
